Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	stationaryDist[1]	stationaryDist[2]	tree_length
360	-36.90108	-53.69859	16.79752	0.132159	0.0313055	0.135025	0.00649349	0.159031	0.0809405	0.0207243	0.0213773	0.017459	0.165089	0.145616	0.015554	0.452719	0.014265	0.00512828	0.13935	0.143764	0.110004	0.0477478	0.00587085	0.0732008	0.0124836	0.224372	2.28417	0.229501	0.6803186	1.319681	0.948187	0.974386	0.991938	1.00813	1.02629	1.05464	0.03846968	1.939799	5.971647	0.0611939	0.0144954	0.0625208	0.00300669	0.0736363	0.037478	0.00959601	0.00989835	0.00808409	0.0764414	0.0674249	0.00720199	0.209623	0.00660513	0.00237456	0.0645237	0.0665671	0.0509352	0.0221087	0.00271839	0.0338943	0.00578032	0.103891	0.659841	0.340159	2.159679
396	-34.82026	-51.80987	16.98961	0.151075	0.0485504	0.0227418	0.0152	0.0154658	0.0196017	0.0220637	0.0118473	0.0318117	0.0128766	0.0472451	0.133183	0.0938073	0.00469492	0.0120404	0.071417	0.0488546	0.137098	0.0509151	0.0178627	0.0360239	0.0112912	0.0817335	1.54252	0.674486	0.1191003	1.8809	0.804548	0.899368	0.967452	1.03364	1.11189	1.24293	0.1572495	15.79257	1.372176	0.137666	0.0442412	0.0207234	0.0138509	0.0140931	0.0178619	0.0201054	0.0107958	0.0289882	0.0117337	0.0430518	0.121362	0.0854813	0.00427821	0.0109717	0.0650784	0.0445185	0.12493	0.0463961	0.0162773	0.0328266	0.010289	0.0744792	0.94045	0.0595501	1.097401
432	-41.53826	-59.14913	17.61087	0.000140507	0.0246103	0.011507	0.0124617	0.00214224	0.00134977	0.00768667	0.00391068	0.00158752	0.0118764	0.00495794	0.0270175	0.0116582	0.00618381	0.000638673	0.00383166	0.0131883	0.000163721	0.00323868	0.000768454	0.0118806	0.00895598	0.00858562	1.2407	0.855578	0.447795	1.552205	0.0416678	0.212263	0.616591	1.62182	4.71115	23.9993	2.297932	3.46633	0.8700797	0.000787851	0.137995	0.0645223	0.0698754	0.012012	0.00756842	0.0431007	0.0219279	0.00890153	0.0665935	0.0278002	0.151492	0.06537	0.0346739	0.00358117	0.0214849	0.0739493	0.000918015	0.01816	0.00430888	0.0666171	0.050218	0.0481413	0.776103	0.223897	0.1783421
468	-29.60759	-53.82051	24.21292	0.140633	0.0279047	0.0527534	0.0422745	0.0639138	0.033577	0.0204437	0.0555204	0.00299246	0.0831506	0.0206566	0.0273031	0.0390286	0.0229895	0.000490369	0.121626	0.00723711	0.0801156	0.064528	0.0397301	0.0164817	0.000492175	0.00280588	0.0187465	1.58875	1.953258	0.04674168	0.255361	0.513887	0.812449	1.23085	1.94595	3.91602	0.987044	0.02393011	0.007079696	0.145486	0.0288675	0.0545735	0.0437331	0.066119	0.0347355	0.021149	0.057436	0.00309571	0.0860195	0.0213693	0.0282451	0.0403752	0.0237827	0.000507288	0.125822	0.00748681	0.0828798	0.0667544	0.0411009	0.0170504	0.000509157	0.00290269	0.0233708	0.976629	0.9666481
504	-40.5738	-57.80115	17.22736	0.312673	0.00395038	0.0343666	0.0176615	0.0412402	0.0511142	0.0499317	0.0537821	0.234066	0.194361	0.0612339	0.0817246	0.0216053	0.0106396	0.128765	0.247308	0.0732562	0.04643	0.017258	0.0565065	0.0336168	0.00239177	0.0231879	2.09571	0.342573	0.6500533	1.349947	0.357138	0.605225	0.854992	1.1696	1.65228	2.80004	0.7444952	2.076671	3.670533	0.17399	0.00219824	0.0191237	0.00982792	0.0229486	0.0284431	0.0277851	0.0299276	0.130249	0.108154	0.0340743	0.0454766	0.0120225	0.00592054	0.0716529	0.137617	0.0407642	0.0258365	0.00960342	0.0314437	0.0187064	0.00133093	0.0129032	0.674973	0.325027	1.79707
540	-37.24122	-53.98071	16.73949	0.0623578	0.0293025	0.0425293	0.00572982	0.0271508	0.0164234	0.0264987	0.0757976	0.0278462	0.366601	0.00250041	0.13479	0.0471709	0.00669442	0.0169761	0.0998174	0.14663	0.0331802	0.0511536	0.0331145	0.0202303	0.00603888	0.00919494	1.93318	0.44009	0.3631445	1.636855	0.154297	0.401939	0.752498	1.32891	2.48794	6.48102	1.351327	4.507449	2.635622	0.0484247	0.0227552	0.0330266	0.00444956	0.0210843	0.0127538	0.0205778	0.0588615	0.0216243	0.284688	0.00194172	0.104672	0.0366311	0.00519863	0.013183	0.0775143	0.113867	0.0257664	0.0397239	0.0257154	0.0157101	0.00468956	0.00714044	0.818428	0.181572	1.287728
576	-35.99422	-56.25039	20.25617	0.0290215	0.000230805	0.0134421	0.0138165	0.0753895	0.0108431	0.0430369	0.00988167	0.00395425	0.0949355	0.0293774	0.00981193	0.0911062	0.0212162	0.077964	0.0832822	0.0153921	0.0522719	0.00778313	0.000815592	5.45774e-05	0.00302206	0.00818235	1.08764	0.947418	0.9030644	1.096936	0.137369	0.379793	0.739309	1.35261	2.63302	7.27965	1.435351	1.214682	0.6888011	0.0417677	0.000332175	0.0193459	0.0198847	0.1085	0.0156054	0.0619386	0.0142217	0.00569094	0.136631	0.0422799	0.0141213	0.13112	0.0305343	0.112206	0.11986	0.0221523	0.0752297	0.0112015	0.0011738	7.85476e-05	0.00434934	0.011776	0.548468	0.451532	0.6948314
612	-47.49624	-57.2151	9.718854	0.00819787	0.0121508	0.0266007	0.00291177	0.0109576	0.0475884	0.0419043	0.000616532	0.00682893	0.0572339	0.0166204	0.0272292	0.0117964	0.0061922	0.00330179	0.0413196	0.00545974	0.047393	0.0047849	0.00239003	0.00212208	0.0172373	0.062608	2.60948	0.0343117	0.1506307	1.849369	0.0172614	0.138107	0.539217	1.85454	7.24074	57.9328	2.935142	12.27751	45.63138	0.017689	0.0262184	0.0573977	0.00628287	0.0236439	0.102684	0.090419	0.00133032	0.0147351	0.123497	0.0358626	0.0587539	0.0254536	0.0133612	0.00712445	0.0891574	0.0117808	0.102262	0.0103246	0.0051571	0.00457893	0.0371938	0.135092	0.924685	0.0753153	0.4634453
648	-37.55551	-49.66346	12.10795	0.020505	0.0078285	0.100921	0.00891413	0.0211781	0.0423386	0.0158313	0.0122234	0.0194826	0.201383	0.0124547	0.0793954	0.148717	0.0178103	0.0218373	0.0492634	0.012761	0.0221406	0.0259156	0.0447479	0.000261426	0.0601139	0.023174	2.47803	0.11318	0.1334376	1.866562	0.0416259	0.212158	0.616496	1.62207	4.71346	24.0235	2.298659	13.98828	13.13677	0.0211567	0.00807729	0.104128	0.00919742	0.0218511	0.0436842	0.0163345	0.0126118	0.0201017	0.207783	0.0128505	0.0819186	0.153443	0.0183764	0.0225313	0.050829	0.0131665	0.0228443	0.0267392	0.04617	0.000269734	0.0620243	0.0239105	0.933281	0.0667188	0.9691985
684	-45.55783	-55.45292	9.895096	0.0909052	0.00484353	0.156522	0.0358092	0.0477263	0.0172754	0.0326729	0.019529	0.00702433	0.414065	0.138385	0.354069	0.121324	0.0226177	0.0756054	0.167014	0.00564385	0.111946	0.0538655	0.0714749	0.0180645	0.165356	0.498649	2.58573	0.0485623	0.252398	1.747602	0.0909886	0.310667	0.694393	1.44011	3.21888	10.9904	1.733211	6.923994	31.94739	0.0345596	0.00184137	0.0595055	0.0136137	0.0181442	0.00656762	0.0124213	0.00742438	0.00267045	0.157416	0.0526099	0.134607	0.0461239	0.00859861	0.0287431	0.0634941	0.00214563	0.0425589	0.0204782	0.0271728	0.00686762	0.0628637	0.189572	0.873801	0.126199	2.630388
