Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-43.54235	-60.35707	16.81472	0.0167537	0.0132391	0.00479931	0.0203057	0.04993	0.00377169	0.0173572	0.0193094	0.00319875	0.0312138	0.0498118	0.00819889	0.0440421	0.0157351	0.0160236	0.0120656	0.0193592	0.0455494	0.0222574	0.0445581	0.0192659	0.0765876	0.00672121	0.360477	1.38371	0.1571745	1.842826	0.016208	0.133931	0.534076	1.87239	7.46654	61.698	2.980671	11.72471	0.1563083	0.0299143	0.0236389	0.00856935	0.0362565	0.089152	0.0067345	0.0309921	0.0344777	0.00571149	0.0557335	0.088941	0.0146394	0.078639	0.0280957	0.0286109	0.0215436	0.0345667	0.0813302	0.0397415	0.0795603	0.0344	0.13675	0.012001	0.921413	0.0785872	0.5600548
36	-42.97346	-57.95778	14.98432	0.131809	0.0412154	0.0061337	0.0109376	0.0522381	0.000693562	0.0858237	0.103299	0.00586612	0.0544616	0.098783	0.00416128	0.0783079	0.0565105	0.048564	0.0147118	0.0210408	0.0637568	0.00893997	0.00630531	0.0377869	0.125402	0.0234659	1.95545	0.426729	0.2345307	1.765469	0.0292308	0.178561	0.584213	1.7117	5.60033	34.2105	2.554265	7.527669	2.749455	0.122022	0.0381548	0.00567823	0.0101254	0.048359	0.000642059	0.0794506	0.0956286	0.00543051	0.0504174	0.0914476	0.00385228	0.0724929	0.0523141	0.0449577	0.0136194	0.0194783	0.0590223	0.0082761	0.00583709	0.0349809	0.11609	0.0217233	0.882735	0.117265	1.080214
72	-32.1207	-52.13105	20.01035	0.0127853	0.0786555	0.0120531	0.0227154	0.00312592	0.00416353	0.0149156	0.00261641	0.00853659	0.0511353	0.00746194	0.0324559	0.00710687	0.107274	0.123002	0.00997155	0.0229017	0.0193538	0.0310119	0.00611805	0.00558917	0.00769011	0.00814448	1.31942	0.808351	1.002597	0.9974026	0.110262	0.341184	0.714992	1.39862	2.93097	9.06932	1.594292	0.9948186	0.9793391	0.0213521	0.131359	0.0201293	0.0379358	0.00522043	0.0069533	0.0249098	0.00436953	0.0142565	0.0853985	0.0124618	0.0542029	0.0118688	0.179154	0.20542	0.016653	0.038247	0.0323217	0.0517914	0.0102174	0.00933419	0.0128429	0.0136017	0.498701	0.501299	0.5987848
108	-37.79595	-54.53472	16.73876	0.0223398	0.0258379	0.00032154	0.0142402	0.0631201	0.0528891	0.0534643	0.0193868	0.010291	0.10733	0.0190535	0.0841849	0.0445154	0.0148658	0.00938697	0.00726504	0.065216	0.0303419	0.16263	0.036912	0.00769509	0.00370366	0.00435392	0.756313	1.14621	0.09176858	1.908231	0.16259	0.412333	0.758516	1.31836	2.42522	6.15045	1.313473	20.79395	0.3959018	0.0259964	0.030067	0.000374169	0.016571	0.0734515	0.0615459	0.0622152	0.0225599	0.0119754	0.124897	0.0221722	0.0979641	0.0518016	0.017299	0.0109234	0.00845417	0.0758904	0.0353082	0.189248	0.0429537	0.0089546	0.00430986	0.00506656	0.954116	0.0458843	0.8593444
144	-43.26175	-61.54396	18.28221	0.0382	0.0407277	0.0179409	0.0269487	0.027211	0.0938759	0.00565354	0.0860109	0.0116581	0.0644454	0.0257244	0.118401	0.0383315	0.0264377	0.00194236	0.0706464	0.0399895	0.00496009	0.0150438	0.0559737	0.0259207	0.0262429	0.04247	1.3596	0.784238	0.247664	1.752336	0.422802	0.657152	0.877233	1.13995	1.52172	2.36517	0.6224548	7.075456	1.040196	0.0422213	0.0450151	0.0198296	0.0297856	0.0300755	0.103758	0.0062487	0.0950653	0.0128853	0.0712296	0.0284324	0.130865	0.0423666	0.0292208	0.00214683	0.0780834	0.0441992	0.00548224	0.0166274	0.061866	0.0286493	0.0290055	0.0469408	0.876168	0.123832	0.9047558
180	-32.2023	-49.18845	16.98615	0.0652675	0.042182	0.0034479	0.0468172	0.0232613	0.00725665	0.0229136	0.00128745	0.0192313	0.314941	0.00631939	0.084955	0.37034	0.0719236	0.00479101	0.138337	0.0345434	0.0592685	0.00774304	0.0249455	0.11314	0.00800562	0.0353099	1.93189	0.440863	0.4441036	1.555896	0.199289	0.455361	0.782372	1.27816	2.19606	5.01785	1.166311	3.503454	2.629242	0.0433318	0.0280051	0.0022891	0.0310824	0.0154434	0.00481777	0.0152126	0.000854754	0.0127679	0.209093	0.00419551	0.0564025	0.245872	0.0477508	0.0031808	0.0918431	0.0229337	0.039349	0.00514069	0.0165616	0.0751148	0.00531502	0.0234426	0.777948	0.222052	1.506227
216	-36.46426	-56.28295	19.81868	0.00491623	0.0298874	0.0120467	0.0317585	0.0647555	0.00151199	0.0467546	0.000311313	0.0157789	0.0132669	0.0147333	0.0370275	0.113298	0.0444101	0.00795332	0.038738	0.00410738	0.00177264	0.00240947	0.00431031	0.0291535	0.0293953	0.00406268	0.969088	1.01855	0.6357481	1.364252	0.133323	0.374294	0.735954	1.35878	2.67169	7.50061	1.456972	2.1459	0.5708647	0.00890042	0.0541086	0.0218096	0.0574961	0.117234	0.00273733	0.0846452	0.000563605	0.0285663	0.0240186	0.0266734	0.0670352	0.205116	0.0804008	0.0143988	0.0701319	0.00743607	0.00320921	0.00436214	0.00780346	0.05278	0.0532178	0.00735514	0.682126	0.317874	0.5523592
252	-40.29155	-57.01473	16.72318	0.169029	0.0775903	0.0426781	0.0184909	0.103844	0.0654063	0.070174	0.00665304	0.024757	0.079235	0.0928869	0.0713795	0.170285	0.0528489	0.0107842	0.0329135	0.00399391	0.0767444	0.0645483	0.0478383	0.0258349	0.0100284	0.0556083	2.28636	0.228182	0.7535542	1.246446	0.143194	0.387563	0.743996	1.34409	2.58022	6.98352	1.405323	1.654089	6.01194	0.12306	0.0564888	0.0310713	0.0134621	0.0756023	0.0476184	0.0510894	0.00484367	0.0180241	0.0576862	0.0676253	0.0519671	0.123974	0.0384761	0.00785132	0.0239623	0.00290772	0.0558729	0.0469937	0.0348282	0.0188088	0.00730105	0.040485	0.623223	0.376777	1.373552
288	-35.9531	-56.49553	20.54243	0.321108	0.0155052	0.070685	0.0719461	0.00800997	0.0827545	0.00372365	0.0720921	0.0451832	0.00594017	0.18742	0.238942	0.0321186	0.0583313	0.0732691	0.0213232	0.0416523	0.00877019	0.0655609	0.0126639	0.166061	0.0809114	0.114868	0.130596	1.52164	0.8043942	1.195606	0.193787	0.449186	0.779047	1.28362	2.22625	5.16031	1.186553	1.486343	0.05149554	0.178508	0.00861955	0.0392948	0.0399959	0.00445285	0.0460044	0.00207003	0.040077	0.025118	0.00330222	0.10419	0.132831	0.0178552	0.0324272	0.0407313	0.0118539	0.0231551	0.00487547	0.0364462	0.00704001	0.0923157	0.0449798	0.0638567	0.597803	0.402197	1.79884
324	-36.04156	-52.10321	16.06165	0.477543	0.0031744	0.182888	0.0558161	0.0320754	0.0399806	0.0739731	0.0660292	0.0198746	0.0279805	0.144147	0.0853137	0.0384602	0.0786768	0.218683	0.296848	0.41118	0.0140113	0.293281	0.336515	0.238901	0.125254	0.113667	1.35237	0.788578	0.6293579	1.370642	0.325161	0.578162	0.842876	1.18641	1.72962	3.0754	0.8123199	2.177842	1.028969	0.141525	0.000940764	0.0542007	0.0165417	0.00950587	0.0118487	0.0219227	0.0195684	0.00589003	0.00829231	0.0427194	0.0252836	0.0113981	0.0233167	0.0648088	0.087974	0.121858	0.00415238	0.0869168	0.0997296	0.0708008	0.0371204	0.0336863	0.685321	0.314679	3.374272
